"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Editorial data","S. P. Kothari, Ross L. Watts, Jerold L. Zimmerman, Douglas J. Skinner","Journal of accounting and economics","","","","","",""
"Artículo","Editorial Data","G. William Schwert","Journal of financial economics","","","","","",""
"Artículo","Editorial data","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial data","Jerold L. Zimmerman, Ross L. Watts, S.P. Kothari, Thomas Z. Lys, Douglas J. Skinner","Journal of accounting and economics","","","","","",""
"Artículo","Editorial Data","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial data","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial Data","G. William Schwert","Journal of financial economics","","","","","",""
"Artículo","Editorial Data","","Journal of accounting and economics","","","","","",""
"Artículo","La investigación en Archivística, Bibliotecología y Ciencia de la Información en Colombia: 2007-2017","Orlanda Jaramillo, Johann Pirela Morillo","Bibliotecas. Anales de Investigación","","","","","","141-158"
"Artículo","Life Sciences Data Analysis","John Wass","Science","","","","","",""
"Artículo","Data Sharing in the Sciences.","Stacy Kowalczyk, Kalpana Shankar","Annual Review of Information Science and Technology","","","","","","247-294"
"Artículo","Data without Peer: Examples of Data Peer Review in the Earth Sciences","Sarah Callaghan","D-Lib Magazine","","","","","",""
"Artículo","Teaching science to students with developmental disabilities using the Early Science curriculum","Magdalena M. Apanasionok, Julie Neil, Richard C. Watkins, Corinna Grindle, Richard P. Hastings","Support for learning","","","","","","493-505"
"Artículo","Metrics and Science Monograph Collections at the Marston Science Library, University of Florida","Michelle F. Leonard, Stephanie C. Haas, Vernon N. Kisling","Issues in Science and Technology Librarianship","","","","","",""
"Artículo","Citation Indexes and the Web of Science","Marie E. McVeigh","Encyclopedia of library and information sciences / coord. por Marcia J. Bates","","","","","","1027-1037"
"Artículo","Quantum Science and Quantum Technology","Yazhen Wang, Xinyu Song","Statistical science","","","","","","51-74"
"Artículo","Big data: utilidad en ciencias de la salud","Joan Fernando Chipia Lobo","GICOS: Revista del Grupo de Investigaciones en Comunidad y Salud","","","","","","5-5"
"Artículo","Protocolo: ¿existe acuerdo o desacuerdo entre los índices de impacto absolutos y relativos obtenidos a partir de los datos de Web of Science y Scopus?","Juan A. Marin-Garcia, Rafaela Alfalla-Luque","WPOM","","","","","","53-80"
"Artículo","A wireless data acquisition system for cattle behavior monitoring in zootechnics e-science","A.R.B. Tech, A.I.C. Arce, A.C.S. Silva, E.J.X. Costa","Archivos de zootecnia","","","","","","175-185"
"Artículo","From Pipettes to Science Policy","Yvette R. Seger","Trends in immunology","","","","","","663-665"
"Artículo","Dealing with the Ambiguities of Science Inquiry","Yuen Sze Michelle Tan, Imelda Santos Caleon","The Physics Teacher","","","","","","168-171"
"Artículo","Challenges for land system science","Mark D.A. Rounsevell, Bas Pedroli, Karl-Heinz Erb, Marc R Gramberger, Anne Gravsholt Busck","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","899-910"
"Artículo","Editorial Data","G. William Schwert","Journal of financial economics","","","","","",""
"Artículo","Editorial Data","G. William Schwert","Journal of financial economics","","","","","",""
"Artículo","Editorial Data","","Journal of financial economics","","","","","",""
"Artículo","Editorial Data","","Journal of financial economics","","","","","",""
"Artículo","EDITORIAL DATA","","Journal of accounting and economics","","","","","",""
"Artículo","EDITORIAL DATA","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial data","","Journal of accounting and economics","","","","","",""
"Artículo","Editorial Data","G. William Schwert","Journal of financial economics","","","","","",""
"Artículo","Editorial data","S.P. Kothari, Thomas Z. Lys, Ross L. Watts, Douglas J. Skinner, L. Zimmerman","Journal of accounting and economics","","","","","",""
"Artículo","Editorial data","S. P. Kothari, Douglas J. Skinner, Jerold L. Zimmerman, Ross L. Watts, Thomas Z. Lys","Journal of accounting and economics","","","","","",""
"Artículo","Editorial data","","Journal of accounting and economics","","","","","",""
